filename,greek,english,level
"Duolingo_2026-03-31_06-01-28-350.png","Είμαι χορτοφάγος, δεν τρώω κρέας.","I am a vegetarian, I don't eat meat.","A2"
"Duolingo_2026-03-31_06-01-29-380.png","Λίγο βοδινό παρακαλώ.","A little beef, please.","A2"
"Duolingo_2026-03-31_06-01-29-880.png","Αυτός φοράει ένα γαλάζιο πουκάμισο.","He wears a light blue shirt.","A2"
"Duolingo_2026-03-31_06-01-32-560.png","Εμείς έχουμε δύο καλάθια με ροδάκινα.","We have two baskets of peaches.","A2"
"Duolingo_2026-03-31_06-01-33-200.png","Οδοντόκρεμα και οδοντόβουρτσα.","Toothpaste and toothbrush.","A2"
"Duolingo_2026-03-31_06-01-33-850.png","Γιατί φοράει αυτή φαρδιά ρούχα;","Why does she wear loose clothes?","A2"
"Duolingo_2026-03-31_06-01-34-410.png","Ο όγκος του κουτιού δεν είναι μεγάλος.","The bulk of the box is not big.","B1"
"Duolingo_2026-03-31_06-01-34-960.png","Αυτοί τρέχουν δεκαπέντε χιλιόμετρα ανά ώρα.","They run fifteen kilometers an hour.","A2"
"Duolingo_2026-03-31_06-01-35-400.png","Χιλιόμετρα, μέτρα και εκατοστά.","Kilometers, meters and centimeters.","A2"
"Duolingo_2026-03-31_06-01-42-790.png","Θα πάτε στην παράσταση παραδοσιακών χορών;","Will you go to the traditional dance performance?","B1"
"Duolingo_2026-03-31_06-01-43-310.png","Η ζωγραφική είναι ποίηση και η ποίηση ζωγραφική.","Painting is poetry and poetry is painting.","B1"
"Duolingo_2026-03-31_06-01-43-880.png","Το μουσικό θέατρο δεν είναι δημοφιλές στην Ελλάδα.","Musical theater is not popular in Greece.","B1"
"Duolingo_2026-03-31_06-01-44-330.png","Είναι διαφορετική η λογοτεχνία από την ποίηση;","Is literature different from poetry?","B1"
"Duolingo_2026-03-31_06-01-44-810.png","Είμαι ερασιτέχνης φωτογράφος.","I am an amateur photographer.","B1"
"Duolingo_2026-03-31_06-01-45-260.png","Η θεατρική παράσταση δεν είχε επιτυχία.","The theatrical performance was not successful.","B1"
"Duolingo_2026-03-31_06-01-45-830.png","Έχεις τη σωστή φωνή για τραγούδι.","You have the right voice for singing.","A2"
"Duolingo_2026-03-31_06-01-46-260.png","Η μουσική είναι βασικά ήχος.","Music is basically sound.","A2"
"Duolingo_2026-03-31_06-02-04-200.png","Η γραμματέας είναι γρήγορη στη δουλειά της.","The secretary is fast in her job.","A2"
"Duolingo_2026-03-31_06-02-04-640.png","Τι κάνουν οι αξιωματικοί ;","What do the officers do?","A2"
"Duolingo_2026-03-31_06-02-05-140.png","Τι λέει η δικαστής;","What is the judge saying?","A2"
"Duolingo_2026-03-31_06-02-05-650.png","Εγώ είμαι το αφεντικό, όχι εσύ!","I am the boss, not you!","A2"
"Duolingo_2026-03-31_06-02-06-140.png","Ο οικοδόμος , ο ηλεκτρολόγος και ο υδραυλικός.","The builder, the electrician and the plumber.","A2"
"Duolingo_2026-03-31_06-02-06-690.png","Η εργασία μου είναι πολύ δύσκολη.","My work is very difficult.","A2"
"Duolingo_2026-03-31_06-02-07-160.png","Εγώ είμαι ο συγγραφέας.","I am the author.","A1"
"Duolingo_2026-03-31_06-02-08-700.png","Το εμπόριο βοηθά την οικονομία μας.","Commerce helps our economy.","B1"
"Duolingo_2026-03-31_06-02-09-170.png","Αυτός υπογράφει το συμβόλαιο.","He signs the contract.","B1"
"Duolingo_2026-03-31_06-02-09-760.png","Απαγορεύεται η πώληση αυτού του προϊόντος.","The sale of this product is prohibited.","B2"
"Duolingo_2026-03-31_06-02-10-230.png","Η βιομηχανία και το εμπόριο.","The industry and commerce.","B1"
"Duolingo_2026-03-31_06-02-10-670.png","Είδα τη διαφήμιση στην εφημερίδα.","I saw the advertisement in the newspaper.","B1"
"Duolingo_2026-03-31_06-02-11-200.png","Οι σερβιτόροι και οι καθαριστές συνήθως παίρνουν τον κατώτατο μισθό.","Waiters and cleaners usually earn the minimum wage.","B2"
"Duolingo_2026-03-31_06-02-11-780.png","Τα έσοδα από τις πωλήσεις ήταν δύο εκατομμύρια ευρώ φέτος.","The sales revenue was two million euros this year.","B2"
"Duolingo_2026-03-31_06-02-12-320.png","Τι σημαίνει η διοίκηση;","What does administration mean?","B1"
"Duolingo_2026-03-31_06-02-12-780.png","Γνωρίζει κανείς τι ώρα η συνάντηση θα τελειώσει;","Does anyone know what time the meeting will end?","B1"
"Duolingo_2026-03-31_06-02-13-350.png","Διαφημίζουν τη δουλειά μου.","They advertise my work.","A2"
"Duolingo_2026-03-31_06-02-14-120.png","Το τμήμα κατασκευής έχει νέο διευθυντή;","Does the construction department have a new director?","B1"
"Duolingo_2026-03-31_06-02-14-670.png","Η καθηγήτρια έκανε μια συνάντηση με τους γονείς.","The teacher held a conference with the parents.","B1"
"Duolingo_2026-03-31_06-02-15-160.png","Υπάρχει μια νέα διαφήμιση για εκείνον τον καφέ.","There is a new advertisement for that coffee.","B1"
"Duolingo_2026-03-31_06-02-15-650.png","Η προθεσμία είναι σήμερα.","The deadline is today.","B1"
"Duolingo_2026-03-31_06-02-16-190.png","Απαγορεύεται η πώληση αυτού του προϊόντος.","The sale of this product is prohibited.","B2"
"Duolingo_2026-03-31_06-02-16-730.png","Πρέπει να αυξήσουμε τα έσοδά μας.","We must increase our revenue.","B1"
"Duolingo_2026-03-31_06-02-17-150.png","Πρέπει να μειώσουμε τα έξοδά μας.","We must cut our expenses.","B1"
"Duolingo_2026-03-31_06-02-17-790.png","Αυτοί είναι οι νέοι τρόποι προώθησης προϊόντων.","These are the new ways of product promotion.","B2"
"Duolingo_2026-03-31_06-02-18-650.png","Τι σημαίνει η διοίκηση;","What does administration mean?","B1"
"Duolingo_2026-03-31_06-02-25-650.png","Ανακουφίστηκαν όταν νίκησαν στο παιχνίδι.","They were relieved when they won the game.","B2"
"Duolingo_2026-03-31_06-02-26-200.png","Τον εξοργίζει όταν τον λυπούνται.","It enrages him when they pity him.","B2"
"Duolingo_2026-03-31_06-02-26-750.png","Δεν έχω καθόλου ανασφάλειες για το βάρος μου!","I have no insecurities at all about my weight!","B2"
"Duolingo_2026-03-31_06-02-27-410.png","Ποια είναι τα συναισθήματά σου αυτήν την στιγμή;","What are your feelings at this moment?","B1"
